City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Kahului,US,84.2,clear sky,20.89,-156.47,Maui Seaside Hotel
Port Blair,IN,82.76,moderate rain,11.67,92.75,Fortune Resort Bay Island
Biak,ID,83.62,light rain,-0.91,122.88,Kost Ariz
Kapaa,US,78.8,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
Lufilufi,WS,86.0,broken clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
Cayenne,GF,75.2,clear sky,4.93,-52.33,Hôtel Le Dronmi
La Orilla,MX,78.53,overcast clouds,17.98,-102.23,Baymont by Wyndham Lazaro Cardenas
Grand Gaube,MU,79.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
Labuhan,ID,80.65,light rain,-6.88,112.21,bador sepret
Lorengau,PG,83.62,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
Butaritari,KI,82.02,scattered clouds,3.07,172.79,Isles Sunset Lodge
Isangel,VU,82.4,broken clouds,-19.55,169.27,Volcano Sea View Tree House
Bajil,YE,85.15,clear sky,15.06,43.29,فندق الصقر السياحي
Souillac,MU,77.0,scattered clouds,-20.52,57.52,Bils' Villa
Ixtapa,MX,82.4,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
Busselton,AU,81.0,clear sky,-33.65,115.33,Observatory Guest House
Bengkulu,ID,83.97,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
Mogadishu,SO,78.8,broken clouds,2.04,45.34,Hotel Juba
Sungaipenuh,ID,79.68,broken clouds,-2.08,101.38,Hotel Jaya Wisata 2
Touros,BR,75.2,scattered clouds,-5.2,-35.46,INN NEW HORIZON
Porbandar,IN,84.2,few clouds,21.64,69.61,Lords Inn Porbandar
Bambous Virieux,MU,79.0,scattered clouds,-20.34,57.76,Casa Tia Villa
Coahuayana,MX,79.65,overcast clouds,18.73,-103.68,Hotel Los Arcos
Saint-Pierre,RE,79.0,broken clouds,-21.34,55.48,Lindsey Hôtel
Nhulunbuy,AU,87.8,few clouds,-12.23,136.77,East Arnhem Real Estate
Madang,PG,83.91,broken clouds,-5.22,145.8,Comfort Inn Hotel
Hambantota,LK,86.0,scattered clouds,6.12,81.12,Bungalow 63
Lake Havasu City,US,84.2,scattered clouds,34.48,-114.32,Heat Hotel
Atuona,PF,78.31,clear sky,-9.8,-139.03,Villa Enata
Mahebourg,MU,77.0,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
Sao Filipe,CV,79.86,overcast clouds,14.9,-24.5,Tortuga B&B
