City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Cape Town,ZA,-33.93,18.42,61.0,87,86,8.05,overcast clouds
Bredasdorp,ZA,-34.53,20.04,57.2,93,93,3.36,overcast clouds
Rikitea,PF,-23.12,-134.97,74.62,81,100,20.31,light rain
Mengcheng,CN,33.26,116.57,69.53,32,71,2.24,broken clouds
Kahului,US,20.89,-156.47,84.2,62,1,5.82,clear sky
Port Blair,IN,11.67,92.75,82.76,81,99,18.86,moderate rain
Biak,ID,-0.91,122.88,83.62,67,100,6.64,light rain
Derazhnya,UA,49.27,27.43,43.39,87,99,12.95,light rain
Punta Arenas,CL,-53.15,-70.92,37.0,79,75,28.86,broken clouds
Kapaa,US,22.08,-159.32,78.8,83,40,10.29,scattered clouds
Rockhampton,AU,-23.38,150.5,93.2,28,40,3.36,scattered clouds
Nikolskoye,RU,59.7,30.79,35.6,87,90,6.71,overcast clouds
Clyde River,CA,70.47,-68.59,32.0,97,90,26.4,mist
Ushuaia,AR,-54.8,-68.3,35.6,69,40,12.75,scattered clouds
Comodoro Rivadavia,AR,-45.87,-67.5,46.4,39,2,32.21,clear sky
Qaanaaq,GL,77.48,-69.36,24.22,86,30,5.97,scattered clouds
Lufilufi,WS,-13.87,-171.6,86.0,70,75,3.36,broken clouds
Lebu,CL,-37.62,-73.65,47.46,85,31,1.88,scattered clouds
Yellowknife,CA,62.46,-114.35,23.0,92,90,4.7,light snow
Lompoc,US,34.64,-120.46,57.2,93,90,5.82,overcast clouds
Pevek,RU,69.7,170.31,26.15,94,12,16.6,few clouds
Cayenne,GF,4.93,-52.33,75.2,100,0,2.24,clear sky
La Orilla,MX,17.98,-102.23,78.53,90,100,3.69,overcast clouds
Dunedin,NZ,-45.87,170.5,52.0,86,100,1.99,overcast clouds
Grand Gaube,MU,-20.01,57.66,79.0,63,0,7.0,clear sky
Albany,US,42.6,-73.97,52.0,67,71,6.06,broken clouds
Bafq,IR,31.61,55.41,66.56,17,0,2.26,clear sky
Thompson,CA,55.74,-97.86,23.0,100,75,4.7,broken clouds
Mataura,NZ,-46.19,168.86,54.0,74,99,11.99,overcast clouds
Prince Rupert,CA,54.32,-130.32,42.8,100,90,5.82,mist
Labuhan,ID,-6.88,112.21,80.65,80,100,14.47,light rain
Karabulak,RU,43.3,44.9,41.0,86,16,4.47,few clouds
Thinadhoo,MV,0.53,72.93,83.01,77,66,14.85,broken clouds
Kuragino,RU,53.9,92.67,36.57,74,96,16.06,overcast clouds
Lorengau,PG,-2.02,147.27,83.62,75,86,4.79,moderate rain
Geraldton,AU,-28.77,114.6,73.4,60,90,12.75,overcast clouds
Vigrestad,NO,58.57,5.7,37.4,86,75,4.7,light rain
Tasiilaq,GL,65.61,-37.64,33.8,80,99,1.12,overcast clouds
Ocos,GT,14.51,-92.19,68.0,97,99,2.77,overcast clouds
Butaritari,KI,3.07,172.79,82.02,72,47,15.46,scattered clouds
Isangel,VU,-19.55,169.27,82.4,65,75,11.99,broken clouds
Xiuyan,CN,40.29,123.27,66.34,42,0,8.72,clear sky
Bajil,YE,15.06,43.29,85.15,57,0,2.13,clear sky
Bethel,US,41.37,-73.41,46.99,94,61,3.53,broken clouds
Coquimbo,CL,-29.95,-71.34,51.8,87,0,5.82,clear sky
Hasaki,JP,35.73,140.83,63.0,77,90,8.05,overcast clouds
Upernavik,GL,72.79,-56.15,35.49,79,100,5.35,overcast clouds
Souillac,MU,-20.52,57.52,77.0,69,40,10.29,scattered clouds
Yerbogachen,RU,61.28,108.01,30.81,89,71,15.19,broken clouds
Phalaborwa,ZA,-23.94,31.14,69.8,83,4,10.29,clear sky
Ixtapa,MX,20.7,-105.2,82.4,88,40,1.81,scattered clouds
Busselton,AU,-33.65,115.33,81.0,33,8,9.62,clear sky
Bengkulu,ID,-3.8,102.27,83.97,67,62,6.22,broken clouds
Saldanha,ZA,-33.01,17.94,48.2,93,79,1.12,broken clouds
Mogadishu,SO,2.04,45.34,78.8,74,75,12.75,broken clouds
Sungaipenuh,ID,-2.08,101.38,79.68,63,60,2.73,broken clouds
Bluff,NZ,-46.6,168.33,54.0,74,93,11.99,overcast clouds
Darhan,MN,49.49,105.92,48.6,45,100,3.11,overcast clouds
Touros,BR,-5.2,-35.46,75.2,83,40,5.82,scattered clouds
Vaini,TO,-21.2,-175.2,73.4,78,75,10.29,broken clouds
New Norfolk,AU,-42.78,147.06,63.0,64,96,3.0,overcast clouds
Porbandar,IN,21.64,69.61,84.2,79,20,6.2,few clouds
Yinchuan,CN,38.47,106.27,60.73,29,0,6.96,clear sky
Svetlogorsk,BY,52.63,29.73,36.55,88,74,8.52,broken clouds
Uray,RU,60.12,64.78,35.15,97,100,8.57,overcast clouds
Parrita,CR,9.52,-84.32,68.0,100,20,3.36,few clouds
Sakakah,SA,29.97,40.21,62.6,18,0,4.14,clear sky
Garhi Khairo,PK,28.06,67.98,92.07,8,0,9.78,clear sky
Te Anau,NZ,-45.42,167.72,47.5,84,95,1.86,overcast clouds
Jamestown,US,42.1,-79.24,54.0,62,90,9.17,overcast clouds
Helsingborg,SE,56.05,12.69,39.0,92,86,11.61,mist
Tailai,CN,46.38,123.4,59.38,34,0,5.28,clear sky
Alexandria,EG,31.22,29.96,69.8,94,3,5.3,clear sky
Diego De Almagro,CL,-26.37,-70.05,52.56,63,0,0.25,clear sky
Barrow,US,71.29,-156.79,21.2,85,90,14.99,overcast clouds
Westport,US,41.14,-73.36,57.0,71,1,8.05,clear sky
Bambous Virieux,MU,-20.34,57.76,79.0,69,40,10.29,scattered clouds
Belaya Gora,RU,68.53,146.42,20.25,98,94,5.77,overcast clouds
Coahuayana,MX,18.73,-103.68,79.65,89,100,1.39,overcast clouds
Durango,MX,24.83,-104.83,57.27,47,2,1.25,clear sky
Norman Wells,CA,65.28,-126.83,5.0,92,5,2.24,clear sky
La Union,PE,-5.4,-80.75,66.07,76,90,8.05,overcast clouds
Udachnyy,RU,66.42,112.4,15.8,92,90,6.71,light snow
Saint-Pierre,RE,-21.34,55.48,79.0,69,75,13.87,broken clouds
Arraial Do Cabo,BR,-22.97,-42.03,71.11,80,99,20.96,overcast clouds
Nhulunbuy,AU,-12.23,136.77,87.8,55,20,9.17,few clouds
Wana,PK,32.3,69.57,70.39,17,0,3.8,clear sky
Praia Da Vitoria,PT,38.73,-27.07,57.2,93,75,15.14,light intensity shower rain
Madang,PG,-5.22,145.8,83.91,72,52,9.35,broken clouds
Mehamn,NO,71.04,27.85,28.4,92,90,3.36,overcast clouds
Klaksvik,FO,62.23,-6.59,41.0,86,100,13.87,light rain
Hambantota,LK,6.12,81.12,86.0,70,40,11.41,scattered clouds
Vardo,NO,70.37,31.11,28.4,79,20,11.41,few clouds
Izhma,RU,65.01,53.91,30.2,97,100,6.91,overcast clouds
Taybad,IR,34.74,60.78,66.6,24,0,14.7,clear sky
Esperance,AU,-33.87,121.9,71.6,60,75,8.05,broken clouds
