City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Iqaluit,CA,2020-10-15 00:09:54,63.75,-68.51,35.6,88,90,13.87
1,Albany,US,2020-10-15 00:09:07,42.6,-73.97,54.0,77,4,4.61
2,Punta Arenas,CL,2020-10-15 00:08:27,-53.15,-70.92,48.2,57,75,11.41
3,Ixtapa,MX,2020-10-15 00:09:54,20.7,-105.2,87.8,70,20,8.05
4,Thompson,CA,2020-10-15 00:09:54,55.74,-97.86,32.0,94,75,14.99
5,Castro,BR,2020-10-15 00:09:54,-24.79,-50.01,66.67,84,100,3.47
6,Puerto Ayora,EC,2020-10-15 00:09:54,-0.74,-90.35,68.0,96,82,3.0
7,Sao Filipe,CV,2020-10-15 00:09:54,14.9,-24.5,80.47,79,76,5.93
8,Urusha,RU,2020-10-15 00:09:54,54.05,122.9,25.14,85,41,4.79
9,Atuona,PF,2020-10-15 00:09:54,-9.8,-139.03,77.94,75,16,19.69
10,Kavieng,PG,2020-10-15 00:09:55,-2.57,150.8,83.64,69,55,3.04
11,Cape Town,ZA,2020-10-15 00:06:49,-33.93,18.42,59.0,93,6,9.17
12,Hobart,AU,2020-10-15 00:06:46,-42.88,147.33,68.0,52,75,20.8
13,Kruisfontein,ZA,2020-10-15 00:09:55,-34.0,24.73,55.15,52,0,5.5
14,Qaanaaq,GL,2020-10-15 00:09:55,77.48,-69.36,32.25,85,19,7.85
15,Suicheng,CN,2020-10-15 00:09:55,33.9,117.93,61.0,82,100,5.95
16,Tuktoyaktuk,CA,2020-10-15 00:09:55,69.45,-133.04,26.6,73,75,17.22
17,Kakching,IN,2020-10-15 00:09:55,24.48,93.98,64.02,93,17,0.54
18,Saint-Philippe,RE,2020-10-15 00:09:55,-21.36,55.77,71.6,73,20,3.36
19,Port Alfred,ZA,2020-10-15 00:09:55,-33.59,26.89,58.01,79,0,11.34
20,Avera,US,2020-10-15 00:09:56,33.19,-82.53,71.6,83,1,3.36
21,Nanganga,TZ,2020-10-15 00:09:56,-10.38,39.15,71.62,83,14,5.39
22,Pevek,RU,2020-10-15 00:09:56,69.7,170.31,33.22,89,93,22.5
23,Ushuaia,AR,2020-10-15 00:09:56,-54.8,-68.3,50.0,46,75,21.92
24,Kununurra,AU,2020-10-15 00:09:56,-15.77,128.73,82.4,65,51,1.12
25,Elmina,GH,2020-10-15 00:09:56,5.09,-1.35,76.69,90,26,8.77
26,Machiques,VE,2020-10-15 00:09:56,10.06,-72.55,77.13,76,97,3.33
27,Vaini,TO,2020-10-15 00:09:56,-21.2,-175.2,77.0,69,75,8.05
28,Gorom-Gorom,BF,2020-10-15 00:09:56,14.44,-0.24,89.67,19,1,4.79
29,Pangnirtung,CA,2020-10-15 00:09:56,66.15,-65.71,32.61,83,100,9.55
30,Leningradskiy,RU,2020-10-15 00:09:57,69.38,178.42,33.84,88,100,7.9
31,Hermanus,ZA,2020-10-15 00:09:57,-34.42,19.23,57.0,87,12,3.4
32,Plettenberg Bay,ZA,2020-10-15 00:09:57,-34.05,23.37,61.12,44,0,4.85
33,Mataura,NZ,2020-10-15 00:09:57,-46.19,168.86,51.01,54,0,7.0
34,Upernavik,GL,2020-10-15 00:09:57,72.79,-56.15,32.36,91,51,4.12
35,Rikitea,PF,2020-10-15 00:09:57,-23.12,-134.97,73.72,81,36,19.17
36,Beringovskiy,RU,2020-10-15 00:09:57,63.05,179.32,41.97,86,100,14.94
37,Cidreira,BR,2020-10-15 00:09:57,-30.18,-50.21,60.48,84,78,3.89
38,Homer,US,2020-10-15 00:06:28,59.64,-151.55,48.2,76,90,4.7
39,Nikolskoye,RU,2020-10-15 00:06:17,59.7,30.79,44.6,75,90,13.42
40,Dinar,TR,2020-10-15 00:09:58,38.06,30.17,55.4,62,40,3.36
41,Mackay,AU,2020-10-15 00:09:58,-21.15,149.2,75.99,73,75,20.8
42,Iralaya,HN,2020-10-15 00:09:58,15.0,-83.23,81.14,78,0,6.87
43,Talcahuano,CL,2020-10-15 00:08:54,-36.72,-73.12,53.6,93,0,6.93
44,Sheksna,RU,2020-10-15 00:09:58,59.21,38.51,43.56,86,100,8.75
45,Merritt Island,US,2020-10-15 00:09:58,28.54,-80.67,81.0,78,20,4.7
46,Kuandian,CN,2020-10-15 00:09:58,40.73,124.78,37.69,72,51,3.29
47,Pedasi,PA,2020-10-15 00:09:58,7.53,-80.03,78.58,85,53,14.2
48,Ballina,AU,2020-10-15 00:09:58,-28.87,153.57,75.0,60,0,10.29
49,Sayyan,YE,2020-10-15 00:09:58,15.17,44.32,52.52,39,0,1.77
50,Visnes,NO,2020-10-15 00:09:58,59.36,5.22,37.4,93,0,5.82
51,Yumen,CN,2020-10-15 00:09:59,40.28,97.2,32.43,88,0,5.64
52,Yellowknife,CA,2020-10-15 00:09:59,62.46,-114.35,26.6,53,90,23.04
53,Hasaki,JP,2020-10-15 00:09:59,35.73,140.83,63.0,93,75,10.29
54,Cherskiy,RU,2020-10-15 00:09:59,68.75,161.3,34.16,86,74,8.99
55,Charters Towers,AU,2020-10-15 00:09:59,-20.1,146.27,76.3,45,0,11.03
56,Ostrovnoy,RU,2020-10-15 00:09:59,68.05,39.51,33.24,93,100,8.14
57,Lebu,CL,2020-10-15 00:09:59,-37.62,-73.65,51.28,79,0,16.33
58,Noumea,NC,2020-10-15 00:09:39,-22.28,166.46,80.6,61,40,16.11
59,Sinnar,SD,2020-10-15 00:09:59,13.57,33.57,82.11,52,8,9.24
60,Lata,PT,2020-10-15 00:09:59,40.16,-8.33,55.99,93,0,5.82
61,Port Blair,IN,2020-10-15 00:10:00,11.67,92.75,79.92,83,100,13.91
62,Shenjiamen,CN,2020-10-15 00:10:00,29.96,122.3,68.86,72,80,16.89
63,Harsud,IN,2020-10-15 00:10:00,22.1,76.73,74.66,87,91,6.85
64,Pisco,PE,2020-10-15 00:10:00,-13.7,-76.22,64.4,77,5,4.7
65,Severo-Kurilsk,RU,2020-10-15 00:10:00,50.68,156.12,46.44,68,39,24.7
66,Leninskoye,KZ,2020-10-15 00:10:00,41.76,69.39,48.2,57,0,4.7
67,Altay,CN,2020-10-15 00:06:30,47.87,88.12,30.85,73,3,3.13
68,Hithadhoo,MV,2020-10-15 00:10:00,-0.6,73.08,82.24,75,43,11.83
69,Georgetown,MY,2020-10-15 00:10:00,5.41,100.34,78.8,94,20,3.36
70,Saskylakh,RU,2020-10-15 00:10:00,71.92,114.08,18.39,96,100,15.59
71,Pochutla,MX,2020-10-15 00:10:00,15.74,-96.47,87.8,58,40,4.34
72,Chernyshevskiy,RU,2020-10-15 00:10:00,63.01,112.47,25.39,98,100,10.58
73,Barrow,US,2020-10-15 00:10:01,71.29,-156.79,26.6,73,75,11.41
74,Tubinskiy,RU,2020-10-15 00:10:01,52.89,58.22,55.4,16,100,20.13
75,Manjacaze,MZ,2020-10-15 00:10:01,-24.71,33.88,60.22,92,0,3.2
76,Torbay,CA,2020-10-15 00:09:28,47.67,-52.73,52.0,76,90,23.04
77,Mareeba,AU,2020-10-15 00:10:01,-17.0,145.43,82.4,51,40,17.22
78,Boca Do Acre,BR,2020-10-15 00:10:02,-8.75,-67.4,80.64,56,50,3.44
79,Caravelas,BR,2020-10-15 00:10:02,-17.71,-39.25,75.29,80,26,12.39
80,Sherlovaya Gora,RU,2020-10-15 00:10:02,50.57,116.25,23.86,88,0,9.8
81,Butaritari,KI,2020-10-15 00:06:34,3.07,172.79,81.99,76,50,11.56
82,Henties Bay,NA,2020-10-15 00:10:02,-22.12,14.28,59.0,91,0,1.99
83,Aksu,CN,2020-10-15 00:10:02,41.12,80.26,48.9,46,30,4.81
84,Chuy,UY,2020-10-15 00:10:02,-33.7,-53.46,54.07,95,16,4.56
85,Vao,NC,2020-10-15 00:10:03,-22.67,167.48,72.09,80,64,16.75
86,Dikson,RU,2020-10-15 00:10:03,73.51,80.55,29.53,91,99,21.7
87,Saint Anthony,US,2020-10-15 00:09:01,45.02,-93.22,55.99,47,90,19.46
88,San Cristobal,VE,2020-10-15 00:10:03,7.77,-72.22,80.6,78,40,6.93
89,Qasigiannguit,GL,2020-10-15 00:10:03,68.82,-51.19,33.8,74,79,2.24
90,Saint George,US,2020-10-15 00:05:25,37.1,-113.58,91.0,9,1,17.22
91,Klaksvik,FO,2020-10-15 00:10:03,62.23,-6.59,42.8,87,64,4.7
92,Avarua,CK,2020-10-15 00:10:04,-21.21,-159.78,75.2,53,85,6.93
93,Saravan,AM,2020-10-15 00:10:04,39.72,45.65,51.8,57,13,6.93
94,Tuatapere,NZ,2020-10-15 00:10:04,-46.13,167.68,51.01,54,0,7.0
95,Busselton,AU,2020-10-15 00:10:04,-33.65,115.33,62.01,57,2,9.6
96,Port Lincoln,AU,2020-10-15 00:10:04,-34.73,135.87,75.94,36,100,21.59
97,Alice Springs,AU,2020-10-15 00:10:04,-23.7,133.88,82.4,20,0,12.75
98,Nome,US,2020-10-15 00:06:55,64.5,-165.41,32.0,87,20,8.05
99,Batagay-Alyta,RU,2020-10-15 00:10:04,67.8,130.41,15.71,94,100,3.33
100,Mahebourg,MU,2020-10-15 00:10:04,-20.41,57.7,69.8,88,40,4.7
101,Sahuaripa,MX,2020-10-15 00:10:05,29.05,-109.23,88.54,35,100,4.29
102,Kota Kinabalu,MY,2020-10-15 00:10:05,5.97,116.07,77.0,94,40,2.24
103,Nautla,MX,2020-10-15 00:10:05,20.22,-96.78,80.11,81,35,4.7
104,Bluff,NZ,2020-10-15 00:10:05,-46.6,168.33,51.01,54,0,7.0
105,Santa Isabel Do Rio Negro,BR,2020-10-15 00:10:05,-0.41,-65.02,73.83,95,79,1.05
106,Jamestown,US,2020-10-15 00:10:05,42.1,-79.24,57.0,50,20,6.93
107,Kaka,TM,2020-10-15 00:10:05,37.35,59.61,47.32,51,0,3.06
108,Kapaa,US,2020-10-15 00:10:06,22.08,-159.32,84.2,66,75,11.41
109,Colombia,CU,2020-10-15 00:10:06,20.99,-77.43,78.8,88,51,2.24
110,Bredasdorp,ZA,2020-10-15 00:10:06,-34.53,20.04,50.0,93,11,3.36
111,Hilo,US,2020-10-15 00:06:50,19.73,-155.09,87.8,55,1,14.99
112,Lensk,RU,2020-10-15 00:10:06,60.73,114.93,26.19,94,84,11.41
113,Koumac,NC,2020-10-15 00:10:06,-20.57,164.28,77.99,71,88,7.45
114,Fortuna,US,2020-10-15 00:10:06,40.6,-124.16,69.01,55,20,12.75
115,Bowen,AU,2020-10-15 00:10:06,-20.02,148.23,78.8,54,40,21.92
116,New Norfolk,AU,2020-10-15 00:10:07,-42.78,147.06,68.0,52,75,20.8
117,Lagoa,PT,2020-10-15 00:10:07,39.05,-27.98,68.7,81,27,6.89
118,Hofn,IS,2020-10-15 00:10:07,64.25,-15.21,45.21,76,34,7.27
